词	读音	含义	级别	词性	出现次数
為る	する	做；干	N3	noun	308
居る	いる	在（谦逊语）	N5	noun	157
有る	ある	在；存在；有	N5	noun	100
言う	いう	说	N5	noun	64
言う	いう	说	?	verb	64
来る	くる	来	N5	noun	56
来る	くる	来	?	verb	56
行く	いく	去	N5	noun	42
行く	いく	去	?	verb	42
思う	おもう	想；认为	N4	noun	40
日本	にっぽん	日本	N3	noun	40
思う	おもう	想/觉得	?	verb	40
人	ひと	人	N5	noun	35
見る	みる	看；观看	N5	noun	34
少し	すこし	一点；少许	N5	noun	34
見る	みる	看	?	verb	34
時間	じかん	时间	N5	noun	30
前	まえ	前面	N5	noun	30
日	ひ	日子；太阳	N4	noun	30
良い	よい	好的	N5	noun	29
聞く	きく	听；问	N5	noun	27
聞く	きく	听/问	?	verb	27
方	かた	（敬称）人	N5	noun	24
出る	でる	出去；出现	N5	noun	24
出る	でる	出去/出现	?	verb	24
自分	じぶん	自己	N5	noun	23
中	なか	里面	N5	noun	23
分	ふん	分钟	N5	noun	22
取る	とる	拿取	N5	noun	21
取る	とる	拿/取	?	verb	21
仕事	しごと	工作	N5	noun	20
入る	はいる	进入	N5	noun	20
入る	はいる	进入	?	verb	20
読む	よむ	读	N5	noun	19
読む	よむ	读	?	verb	19
店	みせ	店	N5	noun	18
多い	おおい	多的	N5	noun	18
物	もの	东西	N5	noun	17
書く	かく	写	N5	noun	17
ほど	ほど	程度	N4	noun	17
書く	かく	写	?	verb	17
目	め	眼睛	N5	noun	15
新しい	あたらしい	新的	N5	noun	15
最初	さいしょ	最初	N4	noun	14
部屋	へや	房间	N5	noun	14
駅	えき	车站	N5	noun	14
使う	つかう	使用	N5	noun	14
分かる	わかる	明白	N5	noun	14
過ぎる	すぎる	经过；过度	N4	noun	14
使う	つかう	用	?	verb	14
分かる	わかる	明白	?	verb	14
問題	もんだい	问题	N5	noun	13
早い	はやい	早的/快的	N5	noun	13
窓口	まどぐち	窗口	N2	noun	13
地方	ちほう	地方	N3	noun	12
社会	しゃかい	社会	N4	noun	12
必要	ひつよう	必要的	N4	noun	12
食べる	たべる	吃	N5	noun	12
持つ	もつ	拿；持有	N5	noun	12
教える	おしえる	教；告诉	N5	noun	12
生活	せいかつ	生活	N4	noun	12
食べる	たべる	吃	?	verb	12
教える	おしえる	教/告诉	?	verb	12
持つ	もつ	拿/持有	?	verb	12
子供	こども	孩子	N5	noun	11
今	いま	现在	N5	noun	11
朝	あさ	早上	N5	noun	11
置く	おく	放置	N5	noun	11
作る	つくる	做；制作	N5	noun	11
働く	はたらく	工作	N5	noun	11
選択	せんたく	选择	N4	noun	11
説明	せつめい	说明	N4	noun	11
始める	はじめる	开始（做）	N4	noun	11
考える	かんがえる	思考	N4	noun	11
作る	つくる	做/制作	?	verb	11
考える	かんがえる	思考	?	verb	11
働く	はたらく	工作	?	verb	11
始める	はじめる	开始	?	verb	11
置く	おく	放置	?	verb	11
地域	ちいき	地区	N3	noun	10
電話	でんわ	电话	N5	noun	10
短い	みじかい	短的	N5	noun	10
出す	だす	拿出；寄	N5	noun	10
着く	つく	到达	N5	noun	10
飲む	のむ	喝	N5	noun	10
飲む	のむ	喝	?	verb	10
出す	だす	拿出/提交	?	verb	10
今日	きょう	今天	N5	noun	9
家	いえ/うち	家	N5	noun	9
荷物	にもつ	行李/物品	N5	noun	9
本	ほん	书	N5	noun	9
入れる	いれる	放入	N5	noun	9
終わる	おわる	结束	N5	noun	9
間	あいだ	之间	N4	noun	9
予約	よやく	预约	N4	noun	9
続ける	つづける	继续	N4	noun	9
感ずる	かんずる	感觉	N2	noun	9
入れる	いれる	放入	?	verb	9
終わる	おわる	结束	?	verb	9
続ける	つづける	继续	?	verb	9
相手	あいて	对方	N3	noun	8
薬	くすり	药	N5	noun	8
夜	よる	晚上	N5	noun	8
次	つぎ	下一个	N5	noun	8
場所	ばしょ	地方	N4	noun	8
会社	かいしゃ	公司	N5	noun	8
空気	くうき	空气	N4	noun	8
管理	かんり	管理	N3	noun	8
保険	ほけん	保险	N1	noun	8
安心	あんしん	安心	N4	noun	8
長い	ながい	长的	N5	noun	8
美味しい	おいしい	好吃的	N5	noun	8
楽しい	たのしい	开心的	N5	noun	8
歩く	あるく	走路	N5	noun	8
全部	ぜんぶ	全部	N5	noun	8
選ぶ	えらぶ	选择	N4	noun	8
変わる	かわる	改变	N4	noun	8
大きな	おおきな	大的	N5	noun	8
並ぶ	ならぶ	排队；排列	N5	noun	8
確認	かくにん	确认	N3	noun	8
歩く	あるく	走路	?	verb	8
選ぶ	えらぶ	选择	?	verb	8
変わる	かわる	变化	?	verb	8
並ぶ	ならぶ	排队	?	verb	8
友達	ともだち	朋友	N5	noun	7
喉	のど	喉咙	N4	noun	7
声	こえ	声音	N5	noun	7
熱	ねつ	发烧/热	N4	noun	7
季節	きせつ	季节	N4	noun	7
公園	こうえん	公园	N5	noun	7
環境	かんきょう	环境	N3	noun	7
電車	でんしゃ	电车	N5	noun	7
会話	かいわ	会话	N4	noun	7
連絡	れんらく	联系	N4	noun	7
高い	たかい	高的/贵的	N5	noun	7
難しい	むずかしい	难的	N5	noun	7
近く	ちかく	附近	N5	noun	7
送る	おくる	寄送	N5	noun	7
買う	かう	买	N5	noun	7
話す	はなす	说话	N5	noun	7
待つ	まつ	等	N5	noun	7
もう	もう	已经	N5	noun	7
決める	きめる	决定	N4	noun	7
伝える	つたえる	传达	N3	noun	7
迷う	まよう	迷路；犹豫	N3	noun	7
小さな	ちいさな	小的	N5	noun	7
因る	よる	由于	N3	noun	7
付ける	つける	附加	N3	noun	7
実感	じっかん	实感	N2	noun	7
話す	はなす	说	?	verb	7
買う	かう	买	?	verb	7
待つ	まつ	等	?	verb	7
送る	おくる	送/寄	?	verb	7
決める	きめる	决定	?	verb	7
迷う	まよう	犹豫/迷路	?	verb	7
伝える	つたえる	传达	?	verb	7
客	きゃく	客人	N4	noun	6
体	からだ	身体	N5	noun	6
午後	ごご	下午	N5	noun	6
毎日	まいにち	每天	N5	noun	6
秋	あき	秋天	N5	noun	6
音	おと	声音/响声	N4	noun	6
弁当	べんとう	便当；盒饭	N3	noun	6
野菜	やさい	蔬菜	N5	noun	6
気持ち	きもち	心情/感觉	N4	noun	6
少ない	すくない	少的	N5	noun	6
丁寧	ていねい	礼貌的；仔细的	N4	noun	6
大切	たいせつ	重要的	N5	noun	6
可能	かのう	可能的	N3	noun	6
番号	ばんごう	号码	N5	noun	6
上	うえ	上面	N5	noun	6
掛ける	かける	挂；打（电话）	N5	noun	6
切る	きる	切；剪	N5	noun	6
乗る	のる	乘坐	N5	noun	6
見せる	みせる	给…看	N5	noun	6
引っ越し	ひっこし	搬家	N4	noun	6
続く	つづく	持续	N4	noun	6
増える	ふえる	增加	N4	noun	6
会計	かいけい	会计；结账	N3	noun	6
企業	きぎょう	企业	N2	noun	6
帰り	かえり	回来；归途	N4	noun	6
乗る	のる	乘坐	?	verb	6
切る	きる	切	?	verb	6
増える	ふえる	增加	?	verb	6
続く	つづく	持续	?	verb	6
店員	てんいん	店员	N4	noun	5
来週	らいしゅう	下周	N5	noun	5
週末	しゅうまつ	周末	N4	noun	5
夏	なつ	夏天	N5	noun	5
学校	がっこう	学校	N5	noun	5
大学	だいがく	大学	N5	noun	5
通り	とおり	大街	N4	noun	5
料理	りょうり	菜/料理	N5	noun	5
窓	まど	窗	N5	noun	5
通勤	つうきん	上下班通勤	N3	noun	5
事故	じこ	事故	N4	noun	5
会議	かいぎ	会议	N4	noun	5
文化	ぶんか	文化	N4	noun	5
人口	じんこう	人口	N4	noun	5
現実	げんじつ	现实	N3	noun	5
状況	じょうきょう	状况	N3	noun	5
大きい	おおきい	大的	N5	noun	5
安い	やすい	便宜的	N5	noun	5
静か	しずか	安静的	N5	noun	5
洗う	あらう	洗	N5	noun	5
起きる	おきる	起床；发生	N5	noun	5
覚える	おぼえる	记住	N5	noun	5
住む	すむ	居住	N5	noun	5
始まる	はじまる	开始	N5	noun	5
初めて	はじめて	第一次	N5	noun	5
本当	ほんとう	真的	N5	noun	5
二人	ふたり	两个人	N5	noun	5
以上	いじょう	以上	N4	noun	5
相談	そうだん	商量	N4	noun	5
力	ちから	力量	N4	noun	5
届く	とどく	送达	N4	noun	5
見える	みえる	看得见	N4	noun	5
洗濯	せんたく	洗衣服	N3	noun	5
求める	もとめる	寻求	N3	noun	5
手続き	てつづき	手续	N2	noun	5
普及	ふきゅう	普及	N2	noun	5
一番	いちばん	第一；第一名	N5	noun	5
もっと	もっと	更加	N5	noun	5
進む	すすむ	前进	N4	noun	5
引っ越す	ひっこす	搬家	N4	noun	5
例えば	たとえば	例如	N4	noun	5
自動	じどう	自动	N3	noun	5
勧める	すすめる	劝；推荐	N3	noun	5
一方	いっぽう	一方面；另一方面	N3	noun	5
完全	かんぜん	完全	N3	noun	5
記録	きろく	记录	N3	noun	5
都市	とし	都市	N3	noun	5
覚える	おぼえる	记住	?	verb	5
起きる	おきる	起床/发生	?	verb	5
住む	すむ	住	?	verb	5
届く	とどく	到达/送到	?	verb	5
洗う	あらう	洗	?	verb	5
引っ越す	ひっこす	搬家	?	verb	5
進む	すすむ	前进	?	verb	5
皆	みんな	大家	N4	noun	4
家族	かぞく	家人	N5	noun	4
同僚	どうりょう	同事	N3	noun	4
先生	せんせい	老师	N5	noun	4
手	て	手	N5	noun	4
症状	しょうじょう	症状	N3	noun	4
当日	とうじつ	当天	N2	noun	4
近所	きんじょ	附近	N4	noun	4
月	つき	月亮/月份	N4	noun	4
桜	さくら	樱花	N3	noun	4
車	くるま	车	N5	noun	4
営業	えいぎょう	销售/营业	N3	noun	4
予定	よてい	预定/计划	N4	noun	4
授業	じゅぎょう	课；上课	N5	noun	4
経験	けいけん	经验	N4	noun	4
能力	のうりょく	能力	N3	noun	4
練習	れんしゅう	练习	N5	noun	4
料金	りょうきん	费用/资费	N3	noun	4
口座	こうざ	账户	N3	noun	4
報告	ほうこく	报告	N3	noun	4
課題	かだい	课题	N3	noun	4
雰囲気	ふんいき	氛围	N3	noun	4
意味	いみ	意思/意义	N5	noun	4
関係	かんけい	关系	N4	noun	4
写真	しゃしん	照片	N5	noun	4
減少	げんしょう	减少	N3	noun	4
悪い	わるい	坏的	N5	noun	4
広い	ひろい	宽的/广的	N5	noun	4
暑い	あつい	热的（天气）	N5	noun	4
言葉	ことば	语言；话	N5	noun	4
名前	なまえ	名字	N5	noun	4
住所	じゅうしょ	住址	N5	noun	4
勉強	べんきょう	学习	N5	noun	4
外	そと	外面	N5	noun	4
会う	あう	见面	N5	noun	4
知る	しる	知道	N5	noun	4
降る	ふる	下（雨/雪）	N5	noun	4
渡す	わたす	递交	N5	noun	4
好き	すき	喜欢	N5	noun	4
一人	ひとり	一个人	N5	noun	4
形	かたち	形状	N4	noun	4
最近	さいきん	最近	N4	noun	4
特に	とくに	特别	N4	noun	4
変える	かえる	改变（使）	N4	noun	4
探す	さがす	寻找	N4	noun	4
掃除	そうじ	打扫	N3	noun	4
驚く	おどろく	吃惊	N3	noun	4
違う	ちがう	不同	N3	noun	4
減る	へる	减少	N3	noun	4
燃える	もえる	燃烧	N3	noun	4
数	かず	数量	N3	noun	4
表現	ひょうげん	表达	N3	noun	4
同じ	おなじ	相同的	N5	noun	4
買い物	かいもの	购物	N5	noun	4
答える	こたえる	回答	N5	noun	4
案内	あんないする	引导；介绍	N4	noun	4
楽しみ	たのしみ	期待；乐趣	N4	noun	4
重要	じゅうよう	重要	N3	noun	4
順番	じゅんばん	顺序	N3	noun	4
過ごす	すごす	度过	N3	noun	4
全て	すべて	全部	N3	noun	4
笑顔	えがお	笑脸	N3	noun	4
気付く	きづく	注意到	N3	noun	4
航空	こうくう	航空	N3	noun	4
友人	ゆうじん	友人	N3	noun	4
注文	ちゅうもん	注文	N3	noun	4
会う	あう	见面	?	verb	4
知る	しる	知道	?	verb	4
渡す	わたす	交给	?	verb	4
探す	さがす	找	?	verb	4
変える	かえる	改变	?	verb	4
減る	へる	减少	?	verb	4
驚く	おどろく	惊讶	?	verb	4
驚く	おどろく	吃惊	?	verb	4
過ごす	すごす	度过	?	verb	4
私	わたし	我	N5	noun	3
若者	わかもの	年轻人	N4	noun	3
警察	けいさつ	警察	N4	noun	3
耳	みみ	耳朵	N5	noun	3
首	くび	脖子	N4	noun	3
痛み	いたみ	疼痛	N3	noun	3
健康	けんこう	健康	N3	noun	3
未来	みらい	未来	N3	noun	3
過去	かこ	过去	N3	noun	3
昨日	きのう	昨天	N5	noun	3
夕方	ゆうがた	傍晚	N5	noun	3
午前	ごぜん	上午	N5	noun	3
先週	せんしゅう	上周	N5	noun	3
来月	らいげつ	下个月	N5	noun	3
春	はる	春天	N5	noun	3
冬	ふゆ	冬天	N5	noun	3
薬局	やっきょく	药店	N2	noun	3
本屋	ほんや	书店	N4	noun	3
向こう	むこう	对面	N5	noun	3
天気	てんき	天气	N5	noun	3
雨	あめ	雨	N5	noun	3
食事	しょくじ	餐/饭	N4	noun	3
味噌	みそ	味噌（日式豆酱）	N4	noun	3
味	あじ	味道	N4	noun	3
鍵	かぎ	钥匙	N5	noun	3
傘	かさ	伞	N5	noun	3
袋	ふくろ	袋子	N3	noun	3
服	ふく	衣服	N5	noun	3
遅延	ちえん	延迟/晚点	N3	noun	3
契約	けいやく	合同	N3	noun	3
試験	しけん	考试	N4	noun	3
留学	りゅうがく	留学	N3	noun	3
文法	ぶんぽう	语法	N4	noun	3
現金	げんきん	现金	N3	noun	3
家賃	やちん	房租	N3	noun	3
無料	むりょう	免费	N3	noun	3
世界	せかい	世界	N4	noun	3
情報	じょうほう	信息	N3	noun	3
意見	いけん	意见	N4	noun	3
理由	りゆう	理由	N4	noun	3
我慢	がまん	忍耐	N3	noun	3
事実	じじつ	事实	N3	noun	3
信頼	しんらい	信赖	N3	noun	3
傾向	けいこう	趋势	N3	noun	3
種類	しゅるい	种类	N3	noun	3
趣味	しゅみ	爱好	N4	noun	3
音楽	おんがく	音乐	N5	noun	3
観光	かんこう	观光	N3	noun	3
花見	はなみ	赏花	N4	noun	3
軽い	かるい	轻的	N5	noun	3
痛い	いたい	疼的	N5	noun	3
正しい	ただしい	正确的	N4	noun	3
強い	つよい	强的	N5	noun	3
深い	ふかい	深的	N4	noun	3
十分	じゅうぶん	充分的	N4	noun	3
簡単	かんたん	简单的	N4	noun	3
複雑	ふくざつ	复杂的	N4	noun	3
大丈夫	だいじょうぶ	没关系；没事	N5	noun	3
面倒	めんどう	麻烦的	N3	noun	3
外国	がいこく	外国	N5	noun	3
半	はん	半	N5	noun	3
休み	やすみ	休息；假日	N5	noun	3
紙	かみ	纸	N5	noun	3
開ける	あける	打开	N5	noun	3
遊ぶ	あそぶ	玩	N5	noun	3
生まれる	うまれる	出生	N5	noun	3
押す	おす	推；按	N5	noun	3
借りる	かりる	借入	N5	noun	3
困る	こまる	为难	N5	noun	3
座る	すわる	坐	N5	noun	3
立つ	たつ	站立	N5	noun	3
欲しい	ほしい	想要	N5	noun	3
大変	たいへん	辛苦；非常	N5	noun	3
運転	うんてん	驾驶	N4	noun	3
直す	なおす	修理；改正	N4	noun	3
利用	りよう	利用	N4	noun	3
頑張る	がんばる	加油；努力	N4	noun	3
決まる	きまる	被决定	N4	noun	3
済む	すむ	完成	N4	noun	3
頼む	たのむ	拜托	N4	noun	3
残る	のこる	剩余	N4	noun	3
向かう	むかう	前往	N4	noun	3
戻る	もどる	返回	N4	noun	3
階	かい	楼层	N3	noun	3
断る	ことわる	拒绝	N3	noun	3
外す	はずす	取下	N3	noun	3
守る	まもる	保护；遵守	N3	noun	3
行動	こうどう	行动	N3	noun	3
広げる	ひろげる	展开	N3	noun	3
ちゃんと	ちゃんと	好好地	N3	noun	3
処方	しょほう	处方	N2	noun	3
資源	しげん	资源	N2	noun	3
世代	せだい	世代	N2	noun	3
行事	ぎょうじ	活动	N2	noun	3
就職	しゅうしょく	就业	N2	noun	3
支援	しえん	支援	N2	noun	3
感覚	かんかく	感觉	N2	noun	3
至る	いたる	到达	N2	noun	3
落ち着く	おちつく	冷静	N2	noun	3
朝御飯	あさごはん	早餐	N5	noun	3
着る	きる	穿上；戴上；穿	N5	noun	3
御飯	ごはん	米饭；饭；餐	N5	noun	3
こんな	こんな	这样的；像这样	N5	noun	3
沢山	たくさん	很多	N5	noun	3
疲れる	つかれる	疲倦；累	N5	noun	3
鳴る	なる	响；鸣	N4	noun	3
今度	こんど	这次；下次	N4	noun	3
そんな	そんな	这样的	N4	noun	3
無くなる	なくなる	消失；没有了	N4	noun	3
以内	いない	以内	N4	noun	3
連れる	つれる	带领	N4	noun	3
空く	あく	打开	N4	noun	3
遅れる	おくれる	迟到；晚了	N4	noun	3
代わり	かわり	替代	N4	noun	3
上がる	あがる	上升；进入	N4	noun	3
大分	だいぶ	相当地	N4	noun	3
更に	さらに	更加；进一步	N3	noun	3
実際	じっさい	实际上	N3	noun	3
集中	しゅうちゅう	集中	N3	noun	3
精神	せいしん	精神	N3	noun	3
以前	いぜん	以前	N3	noun	3
依頼	いらい	依赖	N3	noun	3
受け取る	うけとる	收到	N3	noun	3
菓子	かし	点心；糕点	N3	noun	3
緊張	きんちょう	紧张	N3	noun	3
個人	こじん	个人	N3	noun	3
向く	むく	朝向	N3	noun	3
向ける	むける	朝向	N3	noun	3
文字	もじ	文字	N3	noun	3
労働	ろうどう	劳动	N3	noun	3
対する	たいする	面向	N3	noun	3
図書	としょ	图书	N3	noun	3
人気	にんき	人气；受欢迎	N3	noun	3
配達	はいたつ	配送；投递	N3	noun	3
一言	ひとこと	一句话	N3	noun	3
不足	ふそく	不足	N3	noun	3
敬語	けいご	敬语	N2	noun	3
商店	しょうてん	商店	N2	noun	3
入社	にゅうしゃ	入职；进公司	N2	noun	3
身分	みぶん	身分	N2	noun	3
漸く	ようやく	好不容易	N2	noun	3
開ける	あける	打开	?	verb	3
立つ	たつ	站	?	verb	3
座る	すわる	坐	?	verb	3
借りる	かりる	借入	?	verb	3
決まる	きまる	决定（自动）	?	verb	3
直す	なおす	修理/改正	?	verb	3
上がる	あがる	上升	?	verb	3
下がる	さがる	下降	?	verb	3
遊ぶ	あそぶ	玩	?	verb	3
困る	こまる	为难	?	verb	3
疲れる	つかれる	累	?	verb	3
頼む	たのむ	拜托	?	verb	3
断る	ことわる	拒绝	?	verb	3
守る	まもる	保护/遵守	?	verb	3
着る	きる	穿	?	verb	3
戻る	もどる	返回	?	verb	3
向かう	むかう	前往	?	verb	3
頑張る	がんばる	努力	?	verb	3
遅れる	おくれる	迟到/延迟	?	verb	3
空く	あく/すく	空/饿	?	verb	3
生まれる	うまれる	出生	?	verb	3
母	はは	母亲	N5	noun	2
上司	じょうし	上司	N3	noun	2
顔	かお	脸	N5	noun	2
口	くち	嘴	N5	noun	2
歯	は	牙齿	N5	noun	2
肩	かた	肩膀	N3	noun	2
心	こころ	心	N4	noun	2
風邪	かぜ	感冒	N5	noun	2
検査	けんさ	检查	N3	noun	2
疲れ	つかれ	疲劳	N3	noun	2
明日	あした	明天	N5	noun	2
昼	ひる	中午	N5	noun	2
深夜	しんや	深夜	N2	noun	2
来年	らいねん	明年	N5	noun	2
平日	へいじつ	工作日	N2	noun	2
締め切り	しめきり	截止日期	N2	noun	2
途中	とちゅう	途中/中途	N4	noun	2
最後	さいご	最后	N4	noun	2
風呂	ふろ	浴室；澡堂	N5	noun	2
銀行	ぎんこう	银行	N5	noun	2
役所	やくしょ	政府办事处	N2	noun	2
地元	じもと	当地	N1	noun	2
都会	とかい	城市	N3	noun	2
空	そら	天空	N5	noun	2
風	かぜ	风	N5	noun	2
災害	さいがい	灾害	N1	noun	2
山	やま	山	N5	noun	2
木	き	树	N5	noun	2
水	みず	水	N5	noun	2
匂い	におい	气味	N4	noun	2
自然	しぜん	自然	N3	noun	2
食べ物	たべもの	食物	N5	noun	2
飲み物	のみもの	饮料	N5	noun	2
麺	めん	面条	N3	noun	2
肉	にく	肉	N5	noun	2
定食	ていしょく	套餐	N1	noun	2
携帯	けいたい	手机	N3	noun	2
布団	ふとん	被褥	N4	noun	2
椅子	いす	椅子	N5	noun	2
壁	かべ	墙壁	N4	noun	2
浴衣	ゆかた	浴衣（日式夏季和服）	N2	noun	2
免許	めんきょ	驾照	N3	noun	2
品質	ひんしつ	品质	N1	noun	2
面接	めんせつ	面试	N3	noun	2
印鑑	いんかん	印章	N1	noun	2
